Position,xG #,xGA #,xGD #,GS #,GA #,GD #,Team,MP,xG,xGA,xGD,GS,GA,GD,xG vs Actual
1,2,1,1,1,1,1,Manchester City FC,38,2.18,0.98,1.2,83,32,51,0
2,4,6,4,2,5,2,Manchester United FC,38,1.83,1.39,0.44,73,44,29,0.09
3,1,3,2,3,4,3,Liverpool FC,38,2.23,1.24,0.99,68,42,26,-0.44
4,3,2,3,8,2,5,Chelsea FC,38,1.9,1.17,0.73,58,36,22,-0.37
5,8,5,6,4,11,6,Leicester City FC,38,1.59,1.33,0.26,68,50,18,0.2
6,12,9,12,6,9,8,West Ham United FC,38,1.48,1.53,-0.05,62,47,15,0.15
7,11,12,13,5,6,4,Tottenham Hotspur FC,38,1.5,1.6,-0.1,68,45,23,0.29
8,9,7,7,9,3,7,Arsenal FC,38,1.55,1.39,0.16,55,39,16,-0.1
9,5,17,9,7,14,10,Leeds United FC,38,1.8,1.77,0.03,62,54,8,-0.17
10,15,13,15,11,10,11,Everton FC,38,1.22,1.68,-0.46,47,48,-1,0.02
11,6,14,10,10,7,9,Aston Villa FC,38,1.77,1.76,0.01,55,46,9,-0.32
12,17,19,17,13,16,14,Newcastle United FC,38,1.19,1.89,-0.7,46,62,-16,0.02
13,10,11,11,16,12,13,Wolverhampton Wanderers FC,38,1.54,1.55,-0.01,36,52,-16,-0.59
14,18,15,18,14,18,17,Crystal Palace FC,38,1,1.76,-0.76,41,66,-25,0.08
15,14,10,14,12,19,15,Southampton FC,38,1.31,1.54,-0.23,47,68,-21,-0.07
16,7,4,5,15,8,12,Brighton & Hove Albion FC,38,1.63,1.31,0.32,40,46,-6,-0.58
17,16,18,16,18,15,16,Burnley FC,38,1.2,1.84,-0.64,33,55,-22,-0.33
18,13,8,8,19,13,18,Fulham FC,38,1.48,1.45,0.03,27,53,-26,-0.77
19,20,20,20,17,20,19,West Bromwich Albion FC,38,0.94,2.01,-1.07,35,76,-41,-0.02
20,19,16,19,20,17,20,Sheffield United FC,38,0.96,1.76,-0.8,20,63,-43,-0.43
